id,datum,voornaam,patroniem,inhoud,bron,getuigen,bijzonderheden
2010361,1432-1433,Aleid,,"Alijt Herman Jansz weduwe, Utrecht: ontvangt bij handen van Mouwerijn Staessenz 1 jaar rente 7 nobel, maakt 26 £ 12sc (fol 49v); 1433-1434: bij handen van haar zoon Mouweryn Staessenz 2 jaar renten, 7 nobel per jaar, 53 £ 4sc (fol 43); 1435-1436: (fol 93) van haar rente van 1 jaar afterstal en van dit jaar 39£ 4sc; 1436-1437: (fol 67v) haar rente 39£ 4sc; 1437-1438: 39£ 4sc; 1439-1440: 22£ 8sc",Thesauriersrekening Haarlem,,
2010362,1338,Aleid,Hughenz,"Hillegom van wintval: Jan, zoon van Alyd Hughenz en Peter Willaemsz, 1 eik 11sc (afterstal); afterstal van vóór 1337: Willem Alyt Hughenz 10sc","Rek Houtvester dl VII p 81, 87",,
2010363,1343,Aleid,Ysbrants,de burggraaf van Leiden 25sc uter herfstbede van Wimmen die ver Alyt Ysbrants placht te houden; dezelfde uit dezelfde bede 3sc 9d,Rek Houtvester dl VII p 328,,
2010364,1393-1394,Aleid,Jan Martynszdr,"Alyd Jan Martynszdochter: van een besterfte tot Alkmaar van Evert Symonsz, omdat hij een erfgenaam in oost Vriesland wonende had, 10 £ (829 fol 11v)",Rek Rentmeester Kennemerland,,
2010365,1430,Aleid,Jan Willemsz,"Aleid Jan Willems en Gheryt Pietersz, Amsterdam, rente op Haarlem 12 nobel, 35 £ 4sc (184 fol 97); 1429: (fol 51v) 33 £ 12sc; 1431: (fol 52v) 38 £ 18sc; 1432: (fol 39) 40 £ ",Thesauriersrekening Haarlem,,
2010366,1471-1472,Aleid,Jan Jacobszdr,Aleid Jan Jacobszdochter en Jelis Gysbrechtsz kopen lijfrente van 10 g R gld op Haarlem voor 126 £  (219 fol 12v),Thesauriersrekening Haarlem,,
2010367,1441-1442,Aleid,Laurensdr ,"Alyt Laurensdochter en Mathys Willemsz, Dordrecht, kopen een lijfrente van 13 R gld per jaar op Haarlem voor 190 £ 13sc 4d (fol 7)",Thesauriersrekening Haarlem,,
2010368,1492,Aleid,Mathys,"Alyd Mathijs: 1 R gld van testament, van Heemstede, geheel doorgehaald",Kerkelijke Rek Haarlem fol 6,,
2010369,1500-07-10,Aleid,,"Alyd, weduwe van Jan Claesz, poorteres van Schoonhoven, contra jonge Jan Haalinck namens oude Jan Hallinck: Jan Claesz had een schuld bij Hallinck de wel 25 à 30 jaar oud was, de laatste daagde haar voor provisor van Gouda iplv voor schepenen van Schoonhoven veroordeeld, executie op haar landerijen te Heer Arentsberge; beroep op het Hof van Holland",Grote Raad Mechelen Beroepen Holland dl II dossier 183,,
2010370,1609-10-31,Aleid,Outgersdr,"Alidt Outgersdochter, waardinne tot Rustenburch aan Cornelis Lourisz van Nieuwerkerk, 2 hont teelland aan de Meer, waarvoor Cornelis aan Alidt 500 gld schuldig is","Protocol Schoten, Haarlemmerliede, Akendam fol 66",,
2010371,1518,Aleid,Pieter Baertsz,"Alijt Pieter Baertsz, wonende te Aelsmeer, ontvangen tot een testament 3 R gld",Kerkelijke Rek Haarlem fol 10v,,
2010372,1440,Aleid,Robbrechtsdr,"Alyt Robbrechtsdochter, Dordrecht, rente op Haarlem, ½ jaar, 13 £ 4sc 5d 1mite (195 fol 61v); 1437-1438: (fol 40v) jvr Beatrys Arntsdochter van der Bussch en Jannetge Jacob Jacobszdochter, rente 5 R gld, maakt 6 £ 6sc 8d; 1442-1443: (fol 53) Alyt Robbrechtsdochter, haar rente 27£",Thesauriersrekening Haarlem,,
2010373,1343,Aleid,,"Tetrode, van huur: Symon oude Hannenz en zijn vrouw Alyt, 23 ½ d; Dieric oude Hannenz en zijn vrouw Alverade, 6 ½ d",Rek Rentmeester Kennemerland dl II p 233,,
2010374,1420,Aleid,,"Alyt Tymansweduwe, te Leiden: rente op Haarlem 72 £ 5sc 8d (176 fol 125v); 1422: Alyt Tyman Allertsz weduwe 16 nobels = 41 £ 12sc (fol 81); 1428-1429: (fol 83) haar renten van 1426, 1427 op Sparendam 142 £ 10sc, van 1428: 60 £ 16sc; 1429-1430: (fol 48) 37£ 10sc en 48£; 1432-1433: (fol 36) haar rente 55£ 9sc 4d en op Sparendam 43£ 6sc 8d; 1433-1434: (fol 31) Alyt Thyman Allertsz weduwe haar rente 102£ 12sc",Thesauriersrekening Haarlem,,
2010375,1466-1467,Aleid,Thaemsz,"Alyt Thaemsz gestorven tot Hoorn, 4 ergenamen, van wie 1 woonde te Groningen: daar zij niet veel goets aftergelaten hadde, gedadinct mitten rentmeester om 3 £ (897 fol 43)",Rek Rentmeester Kennemerland,,
2010376,1547,Aleid,Wyertsdr,"Alijd, dochter van Wyert Broersz, gehuwd met Aris Jacobsz, Aris Jansz gehuwd met Margryete, dochter van Wijert Broersz gehuwd met Imme Claes Hermanszdochter: volgens haar broer Claes Wyertsz werden zij bij hun huwelijk bevoordeeld, hij daagde hen voor schepenen van Abbekerk (1540); na de dood van haar moeder (1543) proces over de ouderlijke erfenis (Twisk, Abbekerk); toen Wijert Broersz stierf liet hij 6 kinderen na en slechts 9½ morgen land en veel lasten",Grote Raad Mechelen Beroepen Holland dl VII dossier 668,,
2010377,1338,Aleid,Willemsz,"Nortich, Nortigerhout, Langhevelt van veenhuur: Claes Alyd Willaemz, 3 sc; 1344-1345: Noertigerhout, van verboernisse, Claes Alyd Willemsz, 10sc",Rek Houtvester dl VII p 102,,
2010378,1343,Aleid,Wouters,"Aelbrechtsberg, van huur: Alyt Wouters en haar zoon Willem, 4d; Wouter Willemsz en zijn vrouw Alyt, 7d ",Rek Rentmeester Kennemerland dl II p 231,,
2010379,1338,Eckard,Alydz,"Heemstede, van beesten: Eckard Alydz, 2 scare an vee, 2 scar 1 éénwinter an paerden, 2 verken 6sc 6d",Rek Houtvester dl VII p 96,,
2010380,"1343, 1344",Jan,Alydenz,Jan veren Alidenz: uter herfstbede van Utgeiste 20sc,"Rek Rentmeester Kennemerland dl II p 327, 475",,
2010381,1372-01-11,Bartholomeus,Alydenz,"stierf Bartholomeus filius Aleijdis, die 5 £ besproken heeft en op het gemeen kerkhof begraven is; ….-07-09: Dirk, zoon van Aleyd in Egmond, die 10 sch jaarlijks besprak","Kroniek Egmond p 248, 268/Dagregister",,
2010382,1349-1350,Jan,Alydenz,"Hughe, zoon van Jan ver Alidenz: van zijn leen 20sc (798 fol 25); 1350-1351: idem (799 fol 28)",Rek Rentmeester Kennemerland,,
2010383,1380,Jan,Alydenz,"Jan Alijdez: de Rijsdam ende die Leec, 6 £ 15sc (822 fol 11); 1408: (839 fol 10) buer te Coedyc, pacht Vroonland voor 4£ 19sc 2d (839 fol 10)",Rek Rentmeester Kennemerland,,
2010384,1342-1343,Vrank,Alydenz,"Lisse, afterstal van boetes: Vranke Alidez, 5 sc",Rek Houtvester dl VII p 124,,
2010385,1413,Willem,Alydenz,"Willem Alidenz: van de tienden van Wadweyde, 36 sc (843 fol 4v)",Rek Rentmeester Kennemerland,,
2010386,1354-1355,Boude,Alydenz,"Boude Alidenz: pacht land in Vronen (801 fol 6v); 1355-1356: (802 fol 7) idem; 1356-1357: (804 fol 9) land te Vronen 12sc; 1357-1358 (805 fol 9v), 1358-1359 (806 fol 11v): idem 12sc; 1361-1362: (809 fol 10, 12v) 21sc 3d en 31sc; 1362-1363: (810 fol 1v) afterstal van 1360 van landhuur te Vroon 24sc 9d, huurt land te Vronen 21sc 3d; 1363-1364: (811 fol 8v, 7v) 31sc, idem 31sc; 1366-1367 (812 fol 11), 1368-1369 (8131 fol 2): idem 31sc; 1373-1374: (816 fol 36) afterstal van Vronen 36sc 2d",Rek Rentmeester Kennemerland,,
2010387,1355-1356,Dirc,Alydenz,Dirc Alidez: afterstal van 1 hoet gerst 48sc (802 fol 28v),Rek Rentmeester Kennemerland,,
2010388,1356-1357,Gerrit,Alydenz,"Gerrit Alidenz: van de tienden van Edaertswoude, 11 £ (804 fol 11)",Rek Rentmeester Kennemerland,,
2010389,1349-1350,Hebel,Alydenz,Hebel Alidenz: afterstal van den lande van Vronen (798 fol 28v),Rek Rentmeester Kennemerland,,
2010390,1430,Alise,Jan Olivierszsdr,"Alijse Jan Oliversdochter en Jacob Haddenz, Zierikzee: rente op Haarlem op hun leven tbv Jacob Haddenz en zijn vrouw Margriete, 6 £ 18sc 8d (184 fol 80); 1428-1429: (fol 44) op 1428-09-17 koopt Jacob Haddenz een lijfrente van 4 nobel per jaar tot sinen live en dat van Alisen Jan Olivierszs, voor 134£ 13sc 4d; 1435-1436: (189 fol 43v) hun rente 12£ 5sc 4d; 1441-1442: (fol 17) haar rente 6£ 8sc; 1442-1443: (fol 39) haar rente 7£",Thesauriersrekening Haarlem,,
2010391,1349-1350,Alland,Eckenz,"Alland Eckenz [Allard Eckenz]: ½ mad in de camp bi Claes van Dreije; van zwanen van Grafte en Inesuut (?) en van Schermer (798 fol 12, 15v); (fol 22) levert dakbedekking voor de schuur van het kasteel Middelburg; (fol 35v) Alland van Grafte: afterstal van zwanen; 1363-1364: (811 fol 1) afterstal van 1361 van den lande van Schermer 5sc, van zwanen en van huur in Graft; 1361-1362: (809 fol 1) afterstal van 1359 van de tienden van Grafte 48 sc 3d 2 mite, van huur in Schermer 3 sc, van de Vroenscout in Graft 3£ 18sc; 1362-1363: (810 fol 17) van sijn rock 30sc; 1366-1367: (812 fol 1) Allard Eckenz, afterstal van 1364, 1365 van de vronescout in Grafte 3£ 18d",Rek Rentmeester Kennemerland,,
2010392,1379,Aelwer,Jan Dircsz,"Aelwer Jan Dircsz: afterstal van goede dat mijn here an bestorven is van Jan Dirxsoens doed 20 £ (821 fol 3); (fol 14) de tollen in Sparendam 10 £, Aelwaer Jan Dirxz",Rek Rentmeester Kennemerland,,
2010393,….-01-08,Alewyn,,stierf Alewyn die 2 £ besprak,Kroniek Egmond p 248/Dagregister,,
2010394,994-01-01,Alewyn,,"Arnulfus, comes Valencianensis, zijn vrouw Lietgardis en hun zoon Adelwinus dragen over aan St Pieter te Gend, alodem suum Carvin cum ecclesia et alia ecclesia super fluvium Wendinum in pago Karabasensi",Cartul de la Ville de Gend p 97,,
2010395,1360-1361,Alewyn,,"Alewijn, zijn zwager: ontvangen van besterfte van diens dood in Heemskerk 3 £ (808 fol 21)",Rek Rentmeester Kennemerland,,
2010396,1426,Alewyn,,"Alewijn, van Reinstwoud: van testament 1 sc (fol 3); 1431: Alewyn, van Nieuwerkerc, zijn wijf, van graf, 1 scilt (fol 1v)",Kerkelijke Rek Haarlem,,
2010397,1412,Alewyn,Aerntsz,"Aelwijn Aerntsz: 1 mat land te Schalkwijk of Nuwerkerc, 9sc 4d (fol 7v); 1421 (fol 9); 1422 (fol 5v), 1423 (fol 7v), 1425 (fol 6v), 1426 (fol 6v), 1428 (fol 6): betaald 20 Beyerse gld",Kerkelijke Rek Haarlem,,
2010398,1394,Alewyn,Gerritsz,heer Aelwyn Gerritsz van lanthuer van tsgraven huse [Hasertswoude] (p 52); (p 63) van lanthuer bi Schiedamme die minen here anquam van here Daniel van Mathenesse: Aelwyn Gerritsz van den Hogen Hem en is ca 3 morgen om 10 £ 12sc,"R.G.P. 182/Rek Rentmeester Noordholland 1394 fol 13v, 24v",,
2010399,1300,Alewyn,Hughenz,schepen van Delft: Alewyn Hughenz,Bortet: Delft p 95,,
2010400,"1348, 1349, 1360, 1361",Alewyn,Hughenz,schepen van Delft: Alewyn Hughenz,Bortet: Delft p 98,,
2010401,1333-10-04,Alewyn,Ydenz,"leen in Hagheambacht: 4 ½ morgen land, belend noord: Pieter Jansz, oost: Gerard Nicolaasz, Alewyn ver Idenz, Gysbert van der Zee, zuid: de leenheer, west: Willem Deim en Nicolaes van den Bosch; 1333-10-04: door Symon Symonsz uten Camer ten eigen ontvangen waarna overdracht aan Willem Deim",Ons Voorgeslacht 01-1986 p 20,,
2010402,1349-1350,Alewyn,van Oesterleke,Alewijn van Oesterleke: afterstal van bisterfte aldaar (798 fol 35v),Rek Rentmeester Kennemerland,,
2010403,"1443, 1457, 1462",Pieter ,Alewijn Pietersz,"schepen van Delft: Pieter, zoon van Alewijn Pietersz","Bortet: Delft p 109, 111",,
2010404,1615-1624,Alewyn,Pietersz,"ontvanger, schepen of Raad van Dordrecht: Alewijn Pietersz",Balen: Dordrecht p 332-334,,
2010405,"1421, 1422",Alewyn,Woutersz,schepen van Delft: Alewijn Woutersz,Bortet: Delft p 107,,
2010406,1561-1562,Alexander,Pieter Andriesz,"Alexander Pieter Andriesz uit Utrecht benoemt tot vicaris van een vicarie in de St Nicolaaskerk te Dordrecht: protest van de begever van de vicarie, het is geen familielid",Grote Raad Mechelen Beroepen Holland dl VI dossier 562,,
2010407,1344-1345,Alexis,,"heer Alexis, capellaen van de gravin",Rek Houtvester dl VII p 166,,
2010408,….-10-18,Allard,,"stierf Allard, lekebroer, 12 scell jaarlijks gegeven; J Hof vermeldt in zijn monnikenlijst nog Adalardus, monachus (1106-1124), Adalardus, scholier (1130-1161), Alardus, sacerdos-monachus, vroeger abt van Stavoren (1215)","Kroniek Egmond p 277/Dagregister/J Hof: Abdij Egmond p 475/Fontes 79, 89, p 244",,
2010409,927-11-07,Allardus,,"getuigen voor koning Karel van Frankrijk: comites Matfredus, Erkengerus, Hagano, Walkerus, Boso, Isaac, Ragenberus, Theodricus, Adalbertus, Adelelmus; 960-06-29: getuige Adalardi; 962-05-05: getuigen voor Arnulf I, markies van Vlaanderen: Adelardus, Athelmarus","v.d. Bergh I no 24, no 35",,
2010410,944-06-28,Allardus,,"Allardus en zijn vrouw Grinuata, ouders van Harlindis virginis stichtten 730 het monasterium de Eiche (Maaseyk) super fluvium Votra in pago Huxe [aantekening]",Miraeus: Opera Dipl I p 258,,
2010411,1052,Allardus,,"Glosmodis cum filio suo Adallardo tradidit St Peter te Gend pro anima senioris sui [haar man] Ingelberti et filiorum suorum Ingelberti, Hugonis, Odonis hereditatem suam que sita est in Flandris in …...",Cartul de la Ville de Gend p 116,,
2010412,1076-1099 (1075-1081),Allardus,,"Winemarus en zijn broer Adelardus, zoons van Adelardus, getuigen voor Adelheid, vrouw van Hendrik, dochter van graaf Evert",Sloet p 182 no 184,,
2010413,1561,Aleid,,"Aleid Wouters weduwe bewoont haar eigen huis met ca 3 hont teelland, getaxeerd op 12 R gld",10e penning Heemstede fol 31 no 23,,
2010414,1000~1100,Allard,,"aanwinsten van de abdij Egmond: in Villa Obbingen, Ysbrant unam mansam tradidit, que nihilominus 4 uncias solvit; in Velsen: Gerbrant et Isbrant dederunt ¼ part van een manse pro anima fratris suis Adallardi et matris et patris",v.d. Bergh I no 90,,
2010415,1301-06-13 (1300),Allard,,"stierf Margriet, vrouw van Allard, voor wie jaarlijks 10 sch gegeven zijn en zij is op het gemeen kerkhof van de buurkerk te Egmond begraven",Kroniek Egmond p 263/Dagregister; H van Wijn: Necrologium p 115,,
2010416,1359-1360,Allard,grote,"grote Allard: van de tienden van Houtwoude 100 £ (807 fol 11); 1358-1359: (806 fol 37) afterstal van 1358 van de inwateren bij Medemleke, 9 £ 16sc; 1360-1361: (808 fol 19v) van de slusen in Heren Hugencoech 20sc; 1361-1362: (809 fol 15) van de visserij van de slusen in heer Hughencooch 20sc; 1375-1376: (819 fol 10v) van de tienden in de wateren bij Medemblic, 72£; 1379: (821 fol 13) van de visserij van de inwateren bij Medemblic, 65£; 1380 (822 fol 10v), 1382: (823 fol 11v) idem, 80£",Rek Rentmeester Kennemerland,,
2010417,1384-1385,Allard,grote,"grote Allard: afterstal van de visserij van de inwateren bij Medemblic, 100 £ (826 fol 6); (fol 17v) van de inwateren bi Medemblic 93 £; (fol 21) bi grote Allert, van een besterfte tot Medemblic 3 £; (fol 21v) van sevonde tot Medemblic 7 £; (fol 27v) die de besterfte bewaard tot Medemblic, van zijn roc 40sc; 1385-1386: (827 fol 21v, 21a) van een besterfte tot Medemblic 11£, van idem 6£; (fol 39v) die de besterfte bewaard tot Medemblic van zijn roc 40sc",Rek Rentmeester Kennemerland,,
2010418,1382,Allard,grote,"grote Allard: (823 fol 19) die de besterfte bewaard in Medembliker ambacht, van sinen roc 40sc; 1383-1384: (825 fol 25) van idem 40sc; 1383: (824 fol 19v) van de inwatering in Medemblic 83 £; 1383-1384: (825 fol 16v) van idem 106 £ ",Rek Rentmeester Kennemerland,,
2010419,1526,Allard,Albertsz,"Allert Albertsz, van t Vlijelant, is begraven in die kerk, dat opdoen van zijn graf 20st, geluid al die clocken 30d; betaalt voor zijn testament 3 R gld 1 oort","Kerkelijke Rek Haarlem fol 10, 10v",,
2010420,1361-1362,Allard,Allardsz,Allard Allardsz: afterstal van 1361 van de slusen in heer Hughencoech 23sc 6d 1 mite (809 fol 29),Rek Rentmeester Kennemerland,,
2010421,1409,Allard,Allardsz,Allard Allardsz: van de tienden van de westzijde van den Oostenlande (Wieringen) 36 £ 5sc (840 fol 18v),Rek Rentmeester Kennemerland,,
2010422,1526-1530,Allard,Allardsz,"Allard Allardsz alias lange Aller had aangenomen om bij de Voorburger-, Naaldwijkse- en Maaslandse sluis in Delfland een dam te maken en deze zodra de sluizen hersteld waren, deze weer weg te halen; dit was niet op tijd af en hij dagvaardde de dijkgraaf wegens zijn schade en overwerk; hij verloor, sententie 1525-09-29, zodat ook zijn borgen aangesproken werden",Grote Raad Mechelen Beroepen Holland dl IV dossier 319,,
2010423,1599-1601,Allard,Allardsz,"schepen van Alkmaar: Allard Allardsz, stierf in 1601",Bruinvis: Alkmaar p 22,,
2010424,1349-1350,Allard,Brunijsz,Allard Brunijsz: afterstal van den lande van Vronen (798 fol 28),Rek Rentmeester Kennemerland,,
2010425,1412,Allard,,"Allard, man van Katerinen: afterstal van 1411 van Vroonland 55 sc ..d (842 fol 25v)",Rek Rentmeester Kennemerland,,
2010426,1524,Allard,Claesz,"Allert Claesz, van Osdorp, en woenden daer en was gequeste ende is daer an gestorven heeft die kerk gemaeckt voer zijn testament 3 loet silvers daer in voer betaelt 2 R gld 6st",Kerkelijke Rek Haarlem fol 6v,,
2010427,1558-1565,Allard,Claesz,"vroedschap, schepen van Alkmaar: Allard Claesz, stierf 1571-12-03",Bruinvis: Alkmaar no 113,,
2010428,1392-04-05,Allard,Dircsz,"leen van Amstel: no 31) ⅛ van 2 ackers in Allard Dircsz zate buiten de weg, ⅛ van 3 maden in dezelfde zate boven de weg, belend noord: Claes Trudenz, zuid: Dirk Allardsz, gelegen in Amstelveen buiten de Veldert, beleend Jan Hugez na opdracht uit eigen; 1448-12-20: Doede Meeusz krijgt ten eigen na dode van Dirc Hugo, waarna verzuimd werd, voor 16£ Holl aan de rentmeester-generaal",Ons Voorgeslacht 09-1988 p 368,,
2010429,1475-1476,Allard,Dircsz,"Allard Dircsz: zijn besterfenis in Wormer verkocht voor 3 £, overmits Wendelmoet Dircsdochter voor ⅕ erfgenaam van Allard, in Oistvriesland woont (907 fol 24)",Rek Rentmeester Kennemerland,,
2010430,1441-1442,Allard,Doedenz,een bode naar Enchusen mit enen brieve roerende van Allert Doedenz (fol 122); (fol 126) doet de poorters van Haarlem uit Staveren grote schade,Thesauriersrekening Haarlem,,
2010431,1411,Allard,Ententsz,"heer Aellert Ententsz: van een besterfte in Wieringen bij dode van heer Allerts moeder, die haar erfgenamen in Ostvriesland woonden, daarof ontfaen 12 £ (841 fol 9)",Rek Rentmeester Kennemerland,,
2010432,1394-06-15,Allard,Ghenenz,"Allard Ghenenz en Lubbert Ghenen wijf belend van ""de Grote Otterdijk"" genaamd ""dat Meerland"" [te Kortenhoef]",Repert Stichtse Leenprotocollen p 163,,
2010433,1408,Allard,Gerbrandsz,"Allard Gerbrandsz: buer te Coedijc, pacht Vroonland voor 2 £ 5sc 8d (839 fol 10); 1411: (841 fol 25) afterstal van 1411, 15sc 8d; 1409: (840 fol 16) vroonland 2 £ 5sc 8d; 1422-1423: (852 fol 11) afterstal van 1419, 1420 van Vroonland 3 £ 18sc; 1423-1424: (854 fol 10) afterstal van van 1421 18sc 6d; 1424: (955 fol 2) betaalt deze afterstal van 1419, 1420: 3£ 18sc; (fol 6) maakt 1 vak zeedijk te Enigheborch voor 3¾ nobel; 1424-1425: (856 fol 10v/a) maakt 6 roeden zeedijk te Enigheburch voor 3¾ nobel",Rek Rentmeester Kennemerland,,
2010434,1503,Allard,Gherytsz,"Allert Gherytsz, Scoten, is doet: heeft die kerc besproken 3 R gld, over hem geluid alle die clocken",Kerkelijke Rek Haarlem fol 13v,,
2010435,1377-12-22,Allard,Jacobsz,"grafelijk leen in Rijnland: no 39) 6 morgen te Alphen, belend oost: Arnout Heynenz, west: Allard Jacobsz, beleend Allard Jacobsz; 1390: Allard Jacobsz te Alphen, met de ledige hand; 1400-02-11: Allard Jacobsz ten eigen",Ons Voorgeslacht 06-1987 p 404,,
2010436,1463-1464,Allard,Harckenz,Allard Harckenz: de tienden van Winkel 25 £ 11sc (894 fol 10),Rek Rentmeester Kennemerland,,
2010437,1380,Allard,Heijkenz,"Allard Heijkenz: land te Vronen, van 1379, 38sc 4d (822 fol 5v); 1384-1385: (826 fol 11v) Allard Hoijkenz huur 7 ½ want aldaar, 38sc 3d; 1389-1390: (828 fol 11v) Allard Heykesz, 8 ½ want aldaar, 6 £ 20sc, (fol 13v) idem 9 £ 16d, (fol 15v) huurt 12 ½ geersen 3£ 15sc; 1393-1394: (829 fol 3v) land te Vronen 6£ 20d, (fol 5v) idem 9£ 16d, (fol 7v) 3£ 15sc; 1385-1386: (827 fol 17) van de tienden van Broec 28sc; 1379 (821 fol 3), 1382 (823 fol 6v), 1383: (824 fol 4v) land te Vronen 38sc 3d; 1400: (830 fol 3v, 5v, 7v) land te Vronen 6£ 20d, 9£ 16sc, 3£ 15sc; 1403-1404: (834 fol 3v, 5v, 7v) idem 6£ 20d, 9£ 16d, 3£ 15sc",Rek Rentmeester Kennemerland,,
2010438,1355-1356,Allard,Hillenz,"Allard Hillenz: van de muddepenning te Alkmaar 8 £ 16sc (802 fol 11v); 1356-1357: (804 fol 2v) afterstal van 1353, 1354 van de muddepenning te Alkmaar 4 £ 8sc; 1389-1390: (828 fol 16v) van de tienden van Spanbroec 43 £ 15sc",Rek Rentmeester Kennemerland,,
2010439,1362,Allard,Hughenz,"Allard Hughez: koopt uit zeevond te Petten een mast, 40 sc",Rek Rentmeester Kennemerland 1475-1476 907 achterin,,
2010440,1416,Allard,Jansz,Allard Jansz: van de tienden van de noordzijde van den Westenlande 15 £ 12sc (846 fol 5),Rek Rentmeester Kennemerland,,
2010441,1494-1495,Allard,Jansz,Allaert Jansz: brengt aan het aantal haardsteden te Groede (922 fol 27v),Rek Rentmeester Kennemerland,,
2010442,1482-1483,Allard,Louwerisz,"Allard Louwerisz pacht de zant- en cleyntienden te Castricum, oogst 1482 voor 31 £ 13sc 6d (913 fol 20v)",Rek Rentmeester Kennemerland,,
2010443,1470-11-11,Allard,Martijnsz,"Allard Martynsz: pacht de waag te Crommierdyck voor 5 jaar, voor 10 £ per jaar, van 1471-1472 (903 fol 15) - 1475-1476 (907 fol 14), daarna weer voor 2 jaar, voor 11 £ per jaar; 1478-1479: (909 fol 17) opnieuw voor 5 jaar, ingaande 1477-11-11 voor 13 £ 10 sc per jaar; 1487-1488: (918 fol 13) Geerburch Allarts weduwe pacht deze wage voor 5 jaar, ingaande 1487-11-11 voor 9£ per jaar; 1488-1489: (919 fol 12v) pacht 9£; 1489-1490 (920 fol 13), 1490-1491 (921 fol 14v): Gerburch Allarts weduwe voor idem 9£; 1494-1495: (922 fol 12v) Geerbrecht Allerts weduwe pacht de waag te Crommenye en de marcttollen te Akersloot, voor 5 jaar, ingaande 1492-11-11 voor 11£ per jaar; 1495-1496 (923 fol 16), 1496-1497 (924 fol 16): 11£ per jaar",Rek Rentmeester Kennemerland,,
