id,datum,naam,inhoud,bron,getuigen,bijzonderheden,
1100003,"1477, 1479","Jaarsveld, van",genoemd: Johannis van Jaarsfelt,Batavia Illustrata bl 1200,,,
1100004,1316,"Jagher, de","ontvangsten van de renten van de duinen: Dirc den Jagher en Heyne den Coster, 11 £ 2sc",Rek Hen Huis I p 26,,,
1100005,1342-1343,jager,"Didderic van Walichdorp, 9 dagen, 12d per dag, maakt 9 sc, Dirc Walichdorp, een voeder, 4 sc; 1343-1344: Dirc die jagher heeft 33 dagen met 20 honden en 6 winden, die wedden van die honden maken 5 £ 15sc 6d en Dirc die jagher van zijn wedde 33sc; Dirc die jagher met 2 honden en 6 winden, 2 dagen gelegen an den Houte, de honden 33sc","Rek Houtvester dl VII p 143, 155",,,
1100006,1344-11-07,"Jagher, de","de weduwe van Herborch Hughe Makedoer en haar kinderen: Jan Makedoer, Elisabeth gehuwd met Dirc de Jager en Hasekijn gehuwd met Aernt de Brune doen afstand van al hun aanspraken op 5 morgen land te Naaldwijk, vroeger door Hugo Makedoer en zijn zoon Jacob aan Marienweerd geschonken; verklaring van Willem van Naeldwijc, ridder",Cartul Marienweerd no 536,,,
1100007,1346-06-01,"Jagher, de","lenen in het baljuwschap van Rijnland: Gheret de Jagher: - 7 morgen bij de nortmolen in die Haghe, belend oost: Ysbrand die Jagher, noord: die molen; -  1 morgen, belend noord: de duinen; - 3 morgen te Walinxdorp, belend west en noord: Dieric die Jagher; - 1 morgen ter Mere, belend oost: Allert van der Mere, west: Bertelmeus van der Mere","Bijdr Hist Gen jg 1901 p 233, 234/Reg EL fol 56v",,,
1100008,1346-06-01,"Jagher, de","lenen in het baljuwschap van Rijnland: Gheret Enghebrechtsz 3 morgen land te Walinxdorp, belend west: Dieric die Jagher, oost: Symon Cockartsz","Bijdr Hist Gen jg 1901 p 233, 234/Reg EL fol 56v",,,
1100009,1347-1348,"Jagher, de","lenen in Rijnland: in Hagheambacht: Jan Diedewarsz 6 morgen, belend aan alle zijden: Dirric Jagher",Bijdr Hist Gen jg 1901 p 239/Reg EL 5 fol 58v,,,
1100010,1363-1364,Jager,Dirc Jager: afterstal van 1361 van zwanen,Rek Rentmeester Kennemerland 811 fol 1,,,
1100011,1394,Jagher,"Enghebrecht Dirc Jaghersz [Voorhout], 4 morgen land, van landhuur 4 £ ",R.G.P. 182 p 54/Rek Rentmeester Noordholland fol 15v ,,,
1100012,1442-1443,Jagher,"Claes Jagher: de biertollen tot Nyedorp, 2 £ (873 fol 12); 1443-1444: (874 fol 13v) gadert het haardgeld in Nydorpercogge; 1444-1445: (875 fol 11v) de biertol te Nyedorp, 44sc; 1445-1446: (876 fol 10) de biertollen aldaar 44sc; hij gadert de vroenscoude te Nyedorp; (fol 17v) pluimgrave tot Nyedorp en veilre als men mijns heren tienden en visserijen verhuurt, zijn roc, 3 £",Rek Rentmeester Kennemerland ,,,
1100013,1446-1447,Jagher,"Claes Jagher: (877 fol 19) zijn roc, 3 £ als pluimgrave (niet als veilre), (fol 10) de biertollen te Nyedorp, 44sc; de vroenscoude aldaar gegaderd bij Claes Jagher en Jan Claesz; 1447-1448: (878 fol 6v) de tienden van Winkel voor 21 £ 10sc 6d, (fol 11) de biertollen te Nydorp 44sc, de vroonscoude gegaderd 30sc; 1448-1449: (879 fol 14) de biertollen te Nyedorp, 44sc, de vroonscoude aldaar voor 30 sc; 1447-1448: (878 fol 20v) pluimgraaf tot Nyedorp voor zijn roc, 3£ ; 1448-1449: (879 fol 19) als voren, 3£ en 1449-1450: idem (880 fol 5) en de tienden van Winkel, 19£  19sc 9d; (fol 11) de biertollen te Nyendorp, 44sc",Rek Rentmeester Kennemerland ,,,
1100014,1461-03-18,"Jager, de","leen van Egmond: no 65) Bergen, de werf van Jan van Bergen (1476: een hof waartoe eigen behoort, dat 400 R gld waard is), Claes de Jager, bij dode van zijn oom Willem de Wilde; 1476-10-19: arbiters doen uitspraak in het geschil tussen Claes Jager en Jan Gerritsz voor de kinderen van Arnout de Wilde, waarvan de eerst partij zei dat alles leen was en de tweede partij dat alleen de werf leen was,waarna Claes Jager het eigen voor 200 R gld moet verkopen, tenzij de termijn op 1480-05-01 verloopt; 1481-05-01: Folkert Gerritsz, na overdracht door Claes Jagers; 1502-03-14: Ysbrant Hollesloot, van Amsterdam, na overdracht door Folkert Gerritsz",Ons Voorgeslacht 05-1988 p 214/Coll van Oijen no 76,,,
1100015,1474-1475,Jager,"Willem Jager, schepen van Oostzaan, certificatie",Rek Rentmeester Kennemerland 906 fol 21,,,
1100016,1563-1570,Jager,"Coen Pietersz Jaeger, later zijn weduwe en erfgenamen c.s., hadden vorderingen op Jacob Dircsz van Buyten, inwoner van Schoonhoven",Grote Raad Mechelen Beroepen Holland dl VII dossier 624,,,
1100017,,"Jager, de",genoemd: Gysberth de Jager x Margriet Booth van der Zwaluwe,Batavia Illustrata bl 876,,,
1100018,1338,"Jamerlo, van","census curtis in Rindern: Otto de Jamerlo, 5 sol leves et 7 spint avene",Quellen Stift Xanten p 507,,,
1100019,1614-07-29,Japen,"Christiaan van Alkemade transporteert aan zijn zoon Dirk van Alkemade een huis en hofstede geheten Leeuwesteyn, gelegen in het ambacht van Voorburg, belend oost: Dirk Gerrit Japen, west: Dirk van Alkemade, noord: de Heereweg, zuid: de Vliet",Batavia Illustrata bl 843,"Cornelis van der Hoog, onze stadhouder, Hendrik van Coesveldt en Cornelis van Haaften",,
1100020,1541,"Jeger, de",schepen van 's Hertogenbosch: Godfried de Jeger; 1591: Jan de Jeger; 1609: Godfried de Jeger,Navorscher jg 1890 p 579,,,
1100021,1575,"Jeger, de","Corneille de Jegher, erfpachter in het Rijk van Nijmegen",De Raadt II p 153,,,
1100022,1584,Jeger,"Hughes Russ (Ruysch) et Geba Jegers, sa femme, donnent une obligation devant les échevins de Nimègue","De Raadt III p 289, II p 153",,,
1100023,,"Jeger, de","genoemd: Goyart de Jeger x Elisabeth de Bevere; Geertruyd Berwouts x 1420 H de Jeger; St Janskerk 's Hertogenbosch: jhr Godart de Jeger, stierf 1624-12-05, x Joanna Spierinx van Wel ","Batavia Illustrata bl 863; Wapenheraut jg II: 179, jg I: 42",,,
1100024,1562,Jesus,"Dirk Gerbrantsz (Gerbrant Goutsmitsz) alias Jesus, schepen van Hoorn; 1569: Dirk Gerbrantsz alias Dirk Jesus, idem en burgemeester in 1571",Velius: Chronyk van Hoorn p 20,,,
1100025,1328-02-22,"Jeude, de","voor schepenen in Santbomel verkopen Theodericus zoon van Joeden de Deyle en zijn broer Wenemarus voor  20 £, 4 ½ hond land te Deyl, op de Hoghenweert, de abdij belend aan beide zijden,  aan Johannes de Trajecto",Cartul Marienweerd no 304 ,"borgen voor Theodericus: Gerardus de Reno, Ghiselbertus de Deyle",,
1100026,1328-03-12,"Jeude, de","Lambert van Buren oorkondt dat Mathijs Daemsz van Deyl, zijn leenman, hem opdroeg 2 hont land die hij van hem in leen hield in het gerecht van Deyl op de Hoghen Weert, belend: Marienweerd en het land dat Henric Joede kinderen placht te wezen; daarna gaf Matheus dit land over aan Marienweerd.",Cartul Marienweerd no 306,onze mannen: Hac van Malsen en Goswijn van Tricht,,
1100027,1329-08-31,"Jeude, de","Alardus de Haeften en zijn zuster Christina verkopen voor 300 £ de windmolen te Bomel aan Marienweerd, gelegen tussen Wolter de Maren et communitatem, aan de abdij",Cartul Marienweerd no 339,"borgen voor Alardus: Hertbernus de Hoeclem, Otto de Driel, Otto de Haeften, Gerardus de Reno, Ghiselbertus de Deyle, Johannes de Hellu, Theodericus Wautart, Gerardus Joede de Tule, Alardus filius Ynwani de Vauderic, Johannes filius Eghonis, Arnoldus filius Coppardi",,
1100028,1331-07-27,"Jeude, de","voor schepenen in Santbomel verkoopt Symon Haccozn voor 100 £, 5 jugera in Hyr op de Worden, tussen de erven Ghiselbertus de Tule en Gerardus Joede, aan Goswinus Bartholomeusz dictus Meus; 1331-09-28: draagt hij dit land over aan Marienweerd","Cartul Marienweerd no 396, 398",,,
1100029,1386,"Jeude, de","Vredric die Joede a été investi, par l'évêque d'Utrecht, pour Aleyde van Puyflic, sa soeur, de dîmes à Elst, dit den groeven ende den smalen tienden, que damoiselle Catherine van Bymmen avait tenues",De Raadt II p 154,,,
1100030,"1439, 1441, 1451","Jeude, de","burgemeester van Oostburch: Jean de Juede, et receveur van der Ouder Yevene in Oostburch ambacht",De Raadt II p 154,,,
1100031,1448,"Jeude, de","schepen van Tiel: Jean de Joede, Henricus filius Godefridi","De Raadt II p 154, I p 500",,,
1100032,1457-02-20 (1456),"Jeude, de","Bruynsteyn de Joode en zijn vrouw Machteld van Gendt beloven aan hun vader en moeder heer Arent van Gendt en vrouwe Machteld van der Lecke, voor de afstand en de overgifte van het dorp Hardinksveld, 114 schilden jaarlijks uit te keren",Van Mieris Chronol Reg Vervolg p 98,,,
1100033,1488-1502,"Jeude, de","schepen van Dordrecht: Adriaen die Joede Aertsz; idem 1489-03-21, 1490-06-09",Balen: Dordrecht p 300-303,,,
1100034,1481,"Jeude, de","Aert die Joede Dircsz, soe hi uytlandig wordt, komt in zijn plaats Cornelis Oem Jacobsz, Raad in Dordrecht",Balen: Dordrecht p 298,,,
1100035,1475-06-09,"Jeude, de","Otto van Dornicke contra Arnoud de Jeude en Jehan Boulin, eerste aanleg: gerechtelijke verkoop van de heerlijkheden Ottoland en Slingeland, toebehorend aan Arnout de Jeude, krachtens een vroeger vonnis van het Parlement waarbij hij veroordeeld was tot betaling van verschuldigde termijnen van de grondrente op die goederen; verkoop geldig verklaard met voor de uitgewonnene het recht van wederinkoop binnen de termijn van 8 jaar","Grote Raad Mechelen Geextendeerde Sententiën 1966 p 99, 100",,,
1100036,1502-06-04,"Jeude, de","het klooster Oostbroek geeft zijn goederen in het land van Buren, behorende tot den hove van Snipwijk en ter Grippen over aan heer Frederik van Egmondt, graaf van Bueren,  die aan het klooster teruggegeven heeft: - een bouhoff met zijn visscherijen gelegen tot Assch, geheten up die Laeck met 53 morgen land hem aangekomen (bij mangel ende buytinge) van Johan die Joede (1500) met nog 6 morgen land onder Malsen, alles schatvrij, dienstvrij en tijnsvrij",Codex Dipl Neerl serie 2 dl 4 afd 2 p 59 ,,,
1100037,1524-03-12,"Jeude, de","Capelle aan de Langstraat: Dirck Adriaensz de Joede, diaconus; 1537: Dirck die Joede, rector",Taxandria jg 1923 p 138,,,
1100038,1565,"Jeude, de",schepen van Rotterdam: Martin de Jode,De Raadt II p 154,,,
1100039,1682-12-13,"Jeude, de",secretaris van Tiel: dr Johan van Lidt de Jeude,Geld Leenregister Kwartier Nijmegen no 48,,,
1100040,1222-08-28,"Jode, de",graaf Floris IV verklaart dat Wulfardus de Burgh en Thanhardus de Walle zich voor hem verbonden hebben tot kwijting van hun schulden aan de kerk van Dunes,v.d. Bergh I no 278,"borgen: Wulfardus dominus de Maelsteda, Petrus de Scoude, Vanin filius Deinodi, Arnoldus de Broka, Gerardus de Wemeldinga, Hugo cognomento Judaeus, Goparts filius Thankardi, Wulfardus de Burch, Thanhardus nepos Thanhardi, Merlinus Joslovar de Wale, Nicolaas filius Bubfels, Willasota Hugeman",,
1100041,1222-05-31<,"Jode, de","Wolfert heer van der Maelstede en Petrus de Scoude oorkonden de verkiezing van frater Gerardus de Hontenesse conversus de Dunis, Theodericus Hellebreker, Petrus de Scoude en Deinodus Corthals tot beslechting van de geschillen tussen de abdij van Dunen en Wolfardus, filius Wissonis de Burgh en de broers Dankardus en Hugo, zonen van Wilhelmus de Welle, die het land Wilmars Ward van de abdij gekocht hadden",De Fremery no 50,"borgen: zijde van Wulfardus: dominus Igelof, Petrus de Scoude, Hugheman de Gherbrechtenessse, Gerardus de Wemelburghe, Vanin filius Deinodi Corthals, Hugo judaeus; van de zijde Dankardus en Hugonis: Wolfardus filius Wissonis de Burgh, Wolfardus filius domini Wolfardi, Willesoete de Hontenesse, Merlinus de Vlake, Symon filius Dankardi, Dankardus filius domini Magni",,
1100042,1329-08-14,"Jode, de",doodslag op Pieter de Jode gepleegd,Batavia Illustrata bl 1191,,,
1100043,1334,Jode,"in Pinackerambacht in Vlieland: Wouter Joot, 10 ½ d 8 twal",Rek Rentmeester Noordholland p 194,,,
1100044,1345,"Jode, de","in platea de Fine te Xanten: Bernardus Judeus, 6 sol",Memorien Stift Xanten p 194,,,
1100045,1356-1357,Jode,"Nanna Joede, afsterstal van Vronen van 1355-1356, 6 sc 11d; 1358-1359: afterstal van 1358, land te Vronen, 27sc","Rek Rentmeester Kennemerland 804 fol 4, 806 fol 32v",,,
1100046,1400,"Jeude, de",de denariis infirioribus: Theodericus de Jode zoon van Johannes,Quellen Stift Xanten p 168,,,
1100047,1454-10-30,"Jode, de","accoord van de heren Arend van Gend, Martijn van Herlaer en Bruinstein de Joode aan de ene, en Thymen van Delft aan de andere zijde, betreffende de verkoop van de heerlijkheid van Nyerkerc",Van Mieris Vervolg p 87,,,
1100048,1455-08-21,"Jode, de","Herdicvelt of Hardiksveld met al wat tot de heerlijkheid behoort, verkocht en in leen gegeven aan Bruynstijn de Juede","Van Mieris Vervolg p 89, 107/Reg Charolais",,,
1100049,1460-01-04 (1461),"Jode, de","de heerlijkheid Hardinxveld opgedragen door Bruysten de Juede, schildknape, aan Karel van Bourgondië, ontvangt het weer in leen, met uitzondering van de hoge heerlijkheid en alle leenmannen behalve Floris van Kyfhouck",A.R.A. Leenkamer no 117B fol 68,,leen van Arkel,
1100050,1468-02-03,"Jeude, de","de weduwe van Bruysten de Jeude gedagvaard door Otto van Doorninck, uitstel",Coll Aanw 238 fol 209 Memorien Hof van Holland,,,
1100051,1468-07-24,"Jode, de",de jvr van Hardinxvelt en haar zoon Aernt contra Aernt van der Duijn (opschrift: Daem); 1468-07-27: Aernt die Juede contra Daem van der Duyn over het veer te Hardinxvelt door Aernt geerfd van zijn oude vader heer Arent van Gent; idem 1468-07-28 en 1468-08-11,"Coll Aanw 240 fol 986, 1003, 1019v, 1073",,,
1100052,1472,Jode,"census in Rees: Hadewich van Graessen van Ulenbroek, nu Lambert Joden, 9 scepel haver",Quellen Stift Xanten p 499,,,
1100053,1516-1517,"Jode, de","Jan de Jode heer van Hardinxveld contra de magistraat van Dordrecht, die pretendeerde bevoegd te zijn om overtreders in Zuidholland van Dordse rechten en privileges voor het gerecht van de stad te dagen. Jan duldde deze inbreuk op zijn rechten niet",Grote Raad Mechelen Beroepen Holland dl III dossier 260,,,
1100054,1516,"Jeude, de","Johan de Jeude heer van Hardinxsvelt, inbreuk op zijn visserij rechten in de Merwede nabij Hardincsvelt, proces hierover voor het Hof van Holland, dat Johan in 1503 won; 1503-06-03: opnieuw inbreuk op zijn rechten",Grote Raad Mechelen Beroepen Holland dl I dossier 37,,,
1100055,1632-03-27,"Jode, de","Cornelia en Susanna van Alckemade, ongehuwd, nagelaten dochters van wijlen Hugo van Alckemade Jansz en in die kwaliteit mede erfgenamen van mr Gerard Duijc de Jode overleden binnen deser stede, geven volmacht aan Floris Joostenz van Bleyswijc, haerluyden behoudevader en op Joost van Sandwech mede notaris alhier om namens hen  genoemd sterfhuis af te wikkelen; beiden tekenen de akte","Not Arch Leiden notaris Traudenius, 374 akte 96",,,
1100056,,"Jode, de",genoemd diverse leden van de familie de Jode,"Batavia Illustrata bl 750, 753, 759, 833, 863, 877, 1026, 1036; Navorscher jg 1869: 49, 50, 56",,,
1100057,1631-08-21,Jewel,"losrenten kantoor Enkhuizen: verschijndag 11-01, de kinderen van Cornelis Gerritsz Jewel tot Schagen, met name Wybrandt, Aeltgen en Hillegont Cornelis, fl 2000 - fl 80",Arch. Gecommiteerde Raden van het Noorderquartier Inv 51,,,
1100058,1492-07-30,"Jode, de","Aerndt de Juede en Herberen Adriaensz, leenmannen, oorkonden dat Jacob Martynsz heeft opgedragen 6 morgen land gelegen op Hardicsvelt, welke 6 morgen Jacob met nog 12 morgen te leen houdt, tbv Willem Adriaensz; bij gebrek aan een zegel verzoekt Aerndt de Juede aan Willem Jacobsz, zijn schout, voor hem te zegelen en Herberen zegelt zelf","R.A.H. Coll Aanw 110 Caput Arkel, fol 9, 16v",,Arkel,
1100059,1321-12-29,"Jodogne, van",Koenraad en Wigbold an der Lippe verklaren dat omtrent Remiguis 1316 goederen te Westcappel in Walcheren van Godschalk van Judogne zijn aangekomen en beloven de graaf van alle aanklacht daarop schadeloos te zullen houden,Reg Hann p 102,,,
1100060,1190-1205,"Jokeren, van","census curtis Rottum: Lambertus de Juckeren, 2 sol et 2 pullos; Hescel de Juckeren, 5 sol et 2d","Quellen Stift Xanten p 510, 511",,,
1100061,1300~,"Jokeren, van","tiend en cijns van Bislick ex Merwick et de Lake: - Giselbertus de Jokeren de bonis Koninck, 3 vasa tric, 3 vasa ordei, 3 vasa avene; ex Jokeren: - relicta Bernardi de Jokeren de bonis Costerslant vas tritici; - Henricus de Jokeren mal tritici mal ordei et 2 mal avene; - Giselbertus de Jokeren de bonis Herickens 6 vasa tritici, 2 mal ordei et 2 ½mal avene; ex Varnem: - Lutgardis de Jokeren de bonis de Zeflich, vas tritici et vas ordei; ex Wisxel: - relicta Bernardi de Jokeren, 3 vasa tritici et mal ordei","Quellen Stift Xanten p 411, 412, 413",,,
1100062,1300~,"Jokeren, van","census siliginis ingon Bucholte: - bona Goswini de Jokeren 2 mal siginis et 2 mal avene; - bona Georgeis de Jokeren, zijn vrouw Bela, 1 mal siliginis, 2 mal avene; - bona Johannis de Wilache en zijn vrouw Aleydis; - curia de Jokeren 5 vasa silig 10 vase aveni; - bona Cleonis de Jokerum en zijn vrouw Christina, ½ vas silig, ½ mal avene",Quellen Stift Xanten p 441,,,
1100063,1345,"Jokeren, van~","platea Maris te Xanten: de domo Juger, 20 den",Memorien Stift Xanten p 192,,,
1100064,1399,"Jokeren, van","uitgaven bursa Xantensis: nuntio misso in Gelriam cum litteris capituli ad Elbertum de Eyl et Henricum Jokeren, qui bona ecclesie arrestavit judicio temporali; - Arnoldo, misso ad Henricum de Joecraem, ut non procederet (coram) judicio temporali in bonis in Wetten, arrestatis ad instantiam Rutgeri de Vlodorp, 20 d","Quellen Stift Xanten p 301, 305",,,
1100065,1400,"Jokeren, van",curtem Bruningis sitam in Vissel (Wissel) in parochia Bislick habet Wilhelmus in Vissel (Rutgerus de Jokeren) et Lutgardis ejus uxor annuatim pro 12 mal ordei et 6 mal --,Memorien Stift Xanten p 254,,,
1100066,1400>,"Jokeren, van","Theodericus de Curte Dominorum (Herenhave) colit 2 maldrata et 2 modiata terre sita in campo retro capellam St Andree in der Laeck, te Xanten, pro 4 mod ordei (nunc Johannes de Jokeren)",Memorien Stift Xanten p 223,,,
1100067,1400-1415,"Jokeren, van","registrum de acquisitionibus manium: - in agris curtis Xantensis Berta, relicta Theoderici de Curte Dominorum et Johannes de Jokeren en zijn vrouw Guda; - in bonis Budelshuve in parrochia Wesaliensi, 1e: Aleidis Adolpoitz, 2e: Rutgerus de Jokeren, 3e: Greta filia Henrici de Eger; - in 12 maldratis nunus hout sitis in Bislick, Lutgardis de Jokeren, 1e: Henricus filius dicti Wolf; - in Vissel in bonis Brunyngi alias Kegeler solventibus ad presentibus 4 mal tritici et 10 mal ordei (in istis bonis habent Rutgherus de Jokeren en zijn vrouw Luytgardis, annuatim 6 maldra tritici et 12 mal orde)","Quellen Stift Xanten p 348, 373",,,
1100068,1424,"Jokeren, van","census curtis Rottum, Bislick: in Vyssele Johannes de Jokeren alias Neugen en zijn vrouw Nynna de curte dominorum (nunc 1e: Gertrudis vrouw van Gerard van Jokeren, 2e: hun zoon Johannes); - in Jokeren de bonis Dungelsguet, de uno manso 5 sol et 2d leves, de helft hiervan: 1e: Joh Raijds, 2e: zijn broer Hermannus, 3e: Geradus Snackert; de andere helft: 1e: Gertrudis vrouw van Gerard de Jokeren, 2e: hun zoon Henricus, 3e: Gertrudis","Quellen Stift Xanten p 516, 517",,,
